Date,Metric,Price,Country
2026-04-28,Baseload,105.67,CH
2026-04-29,Baseload,93.49,CH
2026-04-30,Baseload,71.01,CH
2026-05-01,Baseload,-0.68,CH
2026-05-02,Baseload,1.82,CH
2026-05-03,Baseload,65.71,CH
2026-05-04,Baseload,122.58,CH
2026-05-05,Baseload,127.14,CH
2026-05-06,Baseload,132.35,CH
2026-05-07,Baseload,134.65,CH
2026-05-08,Baseload,107.62,CH
2026-04-28,Solar Generation,2335.92,CH
2026-04-29,Solar Generation,23127.08,CH
2026-04-30,Solar Generation,29854.8,CH
2026-05-01,Solar Generation,31626.0,CH
2026-05-02,Solar Generation,31545.93,CH
2026-05-03,Solar Generation,25557.31,CH
2026-05-04,Solar Generation,19767.3,CH
2026-05-05,Solar Generation,16585.46,CH
2026-05-06,Solar Generation,13164.45,CH
2026-05-07,Solar Generation,20947.43,CH
2026-04-28,Solar Capture,96.12,CH
2026-04-29,Solar Capture,65.76,CH
2026-04-30,Solar Capture,3.29,CH
2026-05-01,Solar Capture,-163.55,CH
2026-05-02,Solar Capture,-155.2,CH
2026-05-03,Solar Capture,-4.91,CH
2026-05-04,Solar Capture,106.79,CH
2026-05-05,Solar Capture,119.21,CH
2026-05-06,Solar Capture,128.65,CH
2026-05-07,Solar Capture,117.98,CH
2026-04-28,Wind Onshore Generation,77.42,CH
2026-04-29,Wind Onshore Generation,471.73,CH
2026-04-30,Wind Onshore Generation,506.45,CH
2026-05-01,Wind Onshore Generation,132.09,CH
2026-05-02,Wind Onshore Generation,133.76,CH
2026-05-03,Wind Onshore Generation,251.87,CH
2026-05-04,Wind Onshore Generation,258.84,CH
2026-05-05,Wind Onshore Generation,321.84,CH
2026-05-06,Wind Onshore Generation,337.89,CH
2026-05-07,Wind Onshore Generation,159.69,CH
2026-04-28,Wind Onshore Capture,105.41,CH
2026-04-29,Wind Onshore Capture,94.22,CH
2026-04-30,Wind Onshore Capture,83.57,CH
2026-05-01,Wind Onshore Capture,35.04,CH
2026-05-02,Wind Onshore Capture,-2.24,CH
2026-05-03,Wind Onshore Capture,58.3,CH
2026-05-04,Wind Onshore Capture,117.8,CH
2026-05-05,Wind Onshore Capture,127.37,CH
2026-05-06,Wind Onshore Capture,133.55,CH
2026-05-07,Wind Onshore Capture,127.39,CH
2026-04-28,Solar Forecast,2404.44,CH
2026-04-29,Solar Forecast,19970.25,CH
2026-04-30,Solar Forecast,27021.13,CH
2026-05-01,Solar Forecast,30613.9,CH
2026-05-02,Solar Forecast,27012.93,CH
2026-05-03,Solar Forecast,23050.57,CH
2026-05-04,Solar Forecast,17187.67,CH
2026-05-05,Solar Forecast,14242.58,CH
2026-05-06,Solar Forecast,12004.04,CH
2026-05-07,Solar Forecast,27665.52,CH
2026-04-28,Wind Onshore Forecast,91.72,CH
2026-04-29,Wind Onshore Forecast,394.37,CH
2026-04-30,Wind Onshore Forecast,485.15,CH
2026-05-01,Wind Onshore Forecast,113.8,CH
2026-05-02,Wind Onshore Forecast,148.89,CH
2026-05-03,Wind Onshore Forecast,289.96,CH
2026-05-04,Wind Onshore Forecast,262.5,CH
2026-05-05,Wind Onshore Forecast,282.14,CH
2026-05-06,Wind Onshore Forecast,284.84,CH
2026-05-07,Wind Onshore Forecast,170.78,CH
2026-04-28,Baseload,64.83,BE
2026-04-29,Baseload,51.68,BE
2026-04-30,Baseload,57.46,BE
2026-05-01,Baseload,-5.47,BE
2026-05-02,Baseload,68.48,BE
2026-05-03,Baseload,85.46,BE
2026-05-04,Baseload,123.74,BE
2026-05-05,Baseload,119.98,BE
2026-05-06,Baseload,122.06,BE
2026-05-07,Baseload,124.81,BE
2026-05-08,Baseload,98.12,BE
2026-04-28,Solar Generation,14664.42,BE
2026-04-29,Solar Generation,68918.97,BE
2026-04-30,Solar Generation,69635.91,BE
2026-05-01,Solar Generation,68464.6,BE
2026-05-02,Solar Generation,50071.68,BE
2026-05-03,Solar Generation,20088.85,BE
2026-05-04,Solar Generation,30315.23,BE
2026-05-05,Solar Generation,15964.69,BE
2026-05-06,Solar Generation,24784.36,BE
2026-05-07,Solar Generation,28714.94,BE
2026-04-28,Solar Capture,13.54,BE
2026-04-29,Solar Capture,-7.09,BE
2026-04-30,Solar Capture,3.49,BE
2026-05-01,Solar Capture,-188.21,BE
2026-05-02,Solar Capture,-22.7,BE
2026-05-03,Solar Capture,33.98,BE
2026-05-04,Solar Capture,110.54,BE
2026-05-05,Solar Capture,112.02,BE
2026-05-06,Solar Capture,108.58,BE
2026-05-07,Solar Capture,112.39,BE
2026-04-28,Wind Onshore Generation,15793.73,BE
2026-04-29,Wind Onshore Generation,42558.34,BE
2026-04-30,Wind Onshore Generation,35524.81,BE
2026-05-01,Wind Onshore Generation,16416.21,BE
2026-05-02,Wind Onshore Generation,6993.7,BE
2026-05-03,Wind Onshore Generation,10414.08,BE
2026-05-04,Wind Onshore Generation,4367.58,BE
2026-05-05,Wind Onshore Generation,11046.06,BE
2026-05-06,Wind Onshore Generation,12008.22,BE
2026-05-07,Wind Onshore Generation,882.89,BE
2026-04-28,Wind Onshore Capture,66.51,BE
2026-04-29,Wind Onshore Capture,56.36,BE
2026-04-30,Wind Onshore Capture,62.73,BE
2026-05-01,Wind Onshore Capture,55.14,BE
2026-05-02,Wind Onshore Capture,104.25,BE
2026-05-03,Wind Onshore Capture,85.08,BE
2026-05-04,Wind Onshore Capture,128.06,BE
2026-05-05,Wind Onshore Capture,124.13,BE
2026-05-06,Wind Onshore Capture,120.97,BE
2026-05-07,Wind Onshore Capture,123.69,BE
2026-04-28,Wind Offshore Generation,17029.0,BE
2026-04-29,Wind Offshore Generation,44369.19,BE
2026-04-30,Wind Offshore Generation,34570.4,BE
2026-05-01,Wind Offshore Generation,7908.98,BE
2026-05-02,Wind Offshore Generation,2984.31,BE
2026-05-03,Wind Offshore Generation,3431.04,BE
2026-05-04,Wind Offshore Generation,5410.18,BE
2026-05-05,Wind Offshore Generation,18504.32,BE
2026-05-06,Wind Offshore Generation,12844.2,BE
2026-05-07,Wind Offshore Generation,2589.81,BE
2026-04-28,Wind Offshore Capture,64.9,BE
2026-04-29,Wind Offshore Capture,56.64,BE
2026-04-30,Wind Offshore Capture,70.02,BE
2026-05-01,Wind Offshore Capture,69.07,BE
2026-05-02,Wind Offshore Capture,88.06,BE
2026-05-03,Wind Offshore Capture,96.53,BE
2026-05-04,Wind Offshore Capture,141.08,BE
